지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
108,서울,2012-01-31,-4.7,-8.5,-.3,3.9,7.5,3.1
108,서울,2012-02-01,-12.8,-15.3,-8.1,,6,3.9
108,서울,2012-02-02,-13.7,-17.1,-9.5,,5.9,3.4
108,서울,2012-02-03,-8.6,-14.5,-3.9,.1,4.7,2.3
108,서울,2012-02-04,-3,-5.2,1,.2,5.6,2.3
108,서울,2012-02-05,-.9,-4.5,4.8,,3.2,1.4
108,서울,2012-02-06,.9,-3.2,7,.2,5.2,2.4
108,서울,2012-02-07,-8.7,-11.5,-.1,0,7.6,5.2
108,서울,2012-02-08,-8,-12.1,-3.8,,6.4,3.5
108,서울,2012-02-09,-4.5,-9,-.5,,5.5,2.5
108,서울,2012-02-10,-3.5,-6.9,1.7,0,7.2,2.8
108,서울,2012-02-11,-3.8,-9.2,.8,,6,2.6
108,서울,2012-02-12,-.1,-5,4.8,,4.1,1.8
108,서울,2012-02-13,3.1,.2,8.4,,4.5,2.1
108,서울,2012-02-14,3,-.3,8.3,,5.8,2.5
108,서울,2012-02-15,-1.3,-4.1,3,,5.7,3.7
108,서울,2012-02-16,-2.8,-6.1,2.7,,6.7,3.5
108,서울,2012-02-17,-6.4,-8.8,-2.9,,8.1,4.4
108,서울,2012-02-18,-6.8,-9.6,-2.2,,6.4,3.4
108,서울,2012-02-19,-4.4,-9.6,1.3,,5,2.4
108,서울,2012-02-20,-.2,-5.5,5.3,,6.2,2.6
108,서울,2012-02-21,2.3,-.9,5.5,,3.5,1.9
108,서울,2012-02-22,5.8,-.8,12.1,,5.2,2.4
108,서울,2012-02-23,4.4,1.1,8.2,.3,6.3,3.1
108,서울,2012-02-24,4.3,.2,9.7,,5.7,3.2
108,서울,2012-02-25,1.2,-2.3,5,,6.2,3.8
108,서울,2012-02-26,-1.6,-4,3.2,,6.1,3.3
108,서울,2012-02-27,-.7,-5.9,5.2,,4.8,2.4
108,서울,2012-02-28,2.1,-3.2,7.3,,4.3,2.1
108,서울,2012-02-29,5.4,-1.5,11.8,,5.7,2.2
108,서울,2012-03-01,8.7,4,14.6,,4.4,1.9
108,서울,2012-03-02,6.9,5.2,9.5,.3,5.3,3
108,서울,2012-03-03,6.9,2.7,12.9,,6.5,3.5
108,서울,2012-03-04,6.2,3,9.7,0,7.8,5.2
108,서울,2012-03-05,5.3,3.1,8.5,7,7.8,5.8
108,서울,2012-03-06,3,1.8,4.6,8.5,8.9,4.7
108,서울,2012-03-07,3,-.2,7.7,,5.1,2.9
108,서울,2012-03-08,2,-.3,5.2,,5.9,3.5
108,서울,2012-03-09,3.4,-2.1,9.1,,4.9,2.1
108,서울,2012-03-10,3.9,1.3,8.9,,6.9,3.5
108,서울,2012-03-11,-2.4,-4.6,1.3,0,9.1,5.4
108,서울,2012-03-12,-1.6,-5.7,3.2,,6.5,3.8
108,서울,2012-03-13,1.7,-3.5,6.6,,5.7,2.6
108,서울,2012-03-14,3.6,1.8,5.9,0,7.8,3.8
108,서울,2012-03-15,5.5,-1.7,11.8,,4.6,1.9
108,서울,2012-03-16,8.1,5.7,12.9,4,5.3,3.2
108,서울,2012-03-17,10.4,6.8,16.1,2,5.1,2.5
108,서울,2012-03-18,6.9,2.2,11.5,,7.1,3.3
108,서울,2012-03-19,2.8,-.5,7.2,,5.8,3.1
108,서울,2012-03-20,3.1,-1.9,8.3,,7.9,3.9
108,서울,2012-03-21,4.3,-.5,10.4,,5.4,2.9
108,서울,2012-03-22,7.8,3.3,11.4,0,4.5,2.5
108,서울,2012-03-23,5,2.3,9.7,22,6.5,3.7
108,서울,2012-03-24,3.3,1.5,6.9,3.5,10.2,5.6
108,서울,2012-03-25,3.6,.9,7.7,,8.4,4.8
108,서울,2012-03-26,3.9,-.2,8.7,,7.2,3.7
108,서울,2012-03-27,6.4,1,10.9,,6.7,3.1
108,서울,2012-03-28,10.1,6.4,15.8,,3.9,2
108,서울,2012-03-29,11.6,5.9,16.2,0,7.3,3.4
108,서울,2012-03-30,9,5.8,11.9,.1,5.8,3.7
108,서울,2012-03-31,5.4,2.5,10.1,0,8.2,4.2
108,서울,2012-04-01,4.6,.6,9.4,,5.4,3.1
108,서울,2012-04-02,8.3,3.5,14.1,22,5.4,3.4
108,서울,2012-04-03,4.9,1.1,9.4,35,10.2,4.8
108,서울,2012-04-04,7.2,2.2,12.8,,9.2,4.4
108,서울,2012-04-05,6.7,3.1,12.2,,9.1,4.3
108,서울,2012-04-06,5.4,2.6,9.6,,12,4.6
108,서울,2012-04-07,5.9,.6,12.4,,5.5,3
108,서울,2012-04-08,11.3,4.6,17.6,,10.8,4.7
108,서울,2012-04-09,15.4,10.7,22.4,,5.5,2.6
108,서울,2012-04-10,13.7,11.5,16.9,10.5,4.5,2
108,서울,2012-04-11,12.2,9.1,17.4,3,6.6,3.8
108,서울,2012-04-12,8.9,5.3,12.4,,7.3,3.7
108,서울,2012-04-13,10.3,7.4,15.1,,5.7,2.7
108,서울,2012-04-14,10.5,5.9,16.4,,5.6,2.9
108,서울,2012-04-15,13.4,6.9,21.7,,6,2.6
108,서울,2012-04-16,11.9,7.2,17.9,,6.2,3.1
108,서울,2012-04-17,13.6,7.5,19.7,,5.3,2.4
108,서울,2012-04-18,15.2,9.2,21.3,,4.7,2.1
108,서울,2012-04-19,17,12.2,24.3,,6.1,2.5
108,서울,2012-04-20,18.4,13.6,23.8,,7,3.3
108,서울,2012-04-21,11.4,9.5,16.3,47.5,10.5,7.1
108,서울,2012-04-22,9.4,7.9,12,9,9.1,5.2
108,서울,2012-04-23,12.9,9.1,17.3,0,5.9,2.2
108,서울,2012-04-24,19.7,12.2,26.6,,4.6,1.9
108,서울,2012-04-25,15.1,10.5,20.7,28,7.1,3.9
108,서울,2012-04-26,11.9,8,16.8,2,7.9,4.8
108,서울,2012-04-27,15.2,7.8,22.3,,8,4.1
108,서울,2012-04-28,17,13.8,22.1,,6.5,3.1
108,서울,2012-04-29,19.9,14,26.3,,4.4,1.9
108,서울,2012-04-30,22.9,15.4,29.4,,6.1,2.5
108,서울,2012-05-01,22.6,17.3,28.3,,3.9,2
108,서울,2012-05-02,23.1,19,29.1,.4,5.7,3
108,서울,2012-05-03,20,17,25.4,.2,7,3.3
108,서울,2012-05-04,19.7,14.3,25.7,,7.1,3.3
108,서울,2012-05-05,18.8,13.5,24.9,,8.6,3.9
108,서울,2012-05-06,18.1,13.1,24.1,,7.6,3.2
108,서울,2012-05-07,18.5,12.2,24.9,,5.2,2.3
108,서울,2012-05-08,20.8,14.2,28,,5.3,2.3
108,서울,2012-05-09,20.7,15,27.4,,5.7,2.7
108,서울,2012-05-10,20.1,15.5,26.6,,5.2,2.8
108,서울,2012-05-11,16.2,13.2,19.2,,5.5,2.9
108,서울,2012-05-12,17.1,14.4,21.1,,4,2.2
108,서울,2012-05-13,19.1,14.8,25.2,,4.9,2.2
108,서울,2012-05-14,16.1,15.1,17.2,6.5,3.6,1.8
108,서울,2012-05-15,16.9,13,22.7,0,6.5,3.3
108,서울,2012-05-16,16.6,12.7,22,0,5.9,3
108,서울,2012-05-17,16.6,13.9,20.5,.5,7.3,2.6
108,서울,2012-05-18,18.1,12,24.5,,5.7,2.5
108,서울,2012-05-19,19.5,13.1,25.8,,4.7,2.3
108,서울,2012-05-20,21.3,14.5,28.7,,5.1,2.1
108,서울,2012-05-21,23,17.2,28.9,,4.3,2.1
108,서울,2012-05-22,23.3,17.8,29.3,,5.7,2.4
108,서울,2012-05-23,22.1,18.3,27.8,,5.4,3
108,서울,2012-05-24,19.7,17,24,,5.5,2.2
108,서울,2012-05-25,20.5,16.2,26.6,,6.1,2.7
108,서울,2012-05-26,19.8,14.1,26.1,,6.5,2.6
108,서울,2012-05-27,19.3,17.1,23.4,.3,8,2.7
108,서울,2012-05-28,20.9,16.4,26,.1,5.9,2.8
108,서울,2012-05-29,21.6,18.8,25.4,,4.5,2.9
108,서울,2012-05-30,20.7,18.6,23.6,0,6.2,2.4
108,서울,2012-05-31,20.9,16.6,27.2,.2,7,2.7
108,서울,2012-06-01,21.4,16.3,26.7,,4.1,1.8
108,서울,2012-06-02,23.1,19.2,28.8,,5.2,2.5
108,서울,2012-06-03,23.3,18,29.1,,5.3,2.2
108,서울,2012-06-04,23.7,18.6,29.1,,5.2,2.5
108,서울,2012-06-05,22.5,19.8,27.5,0,5.9,3.5
108,서울,2012-06-06,23,19.1,28.9,,5.3,3
108,서울,2012-06-07,23,18.5,29.4,,5.3,2.4
108,서울,2012-06-08,22.2,19,27.9,2,5.2,2.1
108,서울,2012-06-09,24.2,18.6,29.9,,6.8,2
108,서울,2012-06-10,23.7,20.8,28.7,,5.6,2.4
108,서울,2012-06-11,23.2,20.3,27.8,,5.7,2.6
108,서울,2012-06-12,22.6,19,28.9,.4,7.8,2.6
108,서울,2012-06-13,23.4,18.3,28.9,,4.8,2.8
108,서울,2012-06-14,24.8,19.3,31.7,,5,3.1
108,서울,2012-06-15,23.7,20.4,28,,5,3
108,서울,2012-06-16,23.5,20.2,29.9,,6.5,3
108,서울,2012-06-17,23.6,18.1,29.8,,5.7,3.2
108,서울,2012-06-18,24.9,20.1,30.2,,5.1,2.2
108,서울,2012-06-19,26,20.9,33.5,,9.1,2.9
108,서울,2012-06-20,25.4,21.3,31.3,,6,3.5
108,서울,2012-06-21,25.7,21.3,32.4,,5.1,2.7
108,서울,2012-06-22,24.3,21.3,29.3,0,5.8,2.7
108,서울,2012-06-23,26.2,21.5,31.7,,6.2,2.2
108,서울,2012-06-24,27.8,23.6,32.8,,4.7,2.3
108,서울,2012-06-25,26.5,22.2,33.2,,7.4,4.2
108,서울,2012-06-26,24.6,20.6,30.8,,7,4.6
108,서울,2012-06-27,24.8,19.3,31,,6.2,3.3
108,서울,2012-06-28,25.3,20.9,29.6,,4.3,2.2
108,서울,2012-06-29,25.9,22,31,20,4.8,2.3
108,서울,2012-06-30,21.9,20.2,23.7,69.5,9,4.2
108,서울,2012-07-01,21.6,19.2,25.4,0,4.4,3
108,서울,2012-07-02,24,21.7,29.8,,6.3,2.5
108,서울,2012-07-03,22.7,19.7,25.7,25,6.4,1.5
108,서울,2012-07-04,24.4,22.6,27.4,.3,5.9,3.2
108,서울,2012-07-05,22.7,20.9,24.6,72,4.9,2.1
108,서울,2012-07-06,20.9,19.9,21.8,102.5,6.7,3.2
108,서울,2012-07-07,24.8,18.5,31,,6,1.7
108,서울,2012-07-08,25.8,21.4,30.7,,6,2.5
108,서울,2012-07-09,26.3,21.9,32.3,,5.3,2
108,서울,2012-07-10,25.9,21.7,29.1,6.5,5.1,2.5
108,서울,2012-07-11,23.3,21,26.5,8,5.2,3
108,서울,2012-07-12,24.7,21.1,28.5,0,4.5,2.3
108,서울,2012-07-13,26.1,21.8,29.3,76.5,4.5,2.2
108,서울,2012-07-14,22.8,20.4,26.2,8,5.5,3.7
108,서울,2012-07-15,19.7,19.1,20.5,32.5,7,4.4
108,서울,2012-07-16,21.7,19,25,2.5,3.8,1.9
108,서울,2012-07-17,25.5,21.6,29,0,4.3,2
108,서울,2012-07-18,26.3,24.7,28.4,6,4.8,2.6
108,서울,2012-07-19,23.9,22.4,26.5,72.5,7.3,4.9
108,서울,2012-07-20,25.6,22.1,29.7,1,4.5,2.3
108,서울,2012-07-21,27.5,24.1,31.4,,3.5,1.6
108,서울,2012-07-22,27.2,23.7,30.4,16.5,4.5,2.1
108,서울,2012-07-23,27.6,25.6,30.5,1,7.3,4
108,서울,2012-07-24,27.8,25.5,32.1,,5.2,3.2
108,서울,2012-07-25,27.9,24.2,32.1,,4.8,2.2
108,서울,2012-07-26,28.1,24.3,32.6,,4.7,2.4
108,서울,2012-07-27,27.9,24.9,32.3,,5.6,2.8
108,서울,2012-07-28,28.5,25.2,33.2,,4.5,2.6
108,서울,2012-07-29,29.2,26.2,33.2,0,7.7,3.7
108,서울,2012-07-30,28.4,23,31.6,18,6.6,4
108,서울,2012-07-31,29,26.6,33,.1,5.5,2.5
108,서울,2012-08-01,30.8,25.9,35.3,,5.3,2.5
108,서울,2012-08-02,30.8,26.8,35.5,,5.6,3.7
108,서울,2012-08-03,31.3,27.1,35.4,,6.3,3.2
108,서울,2012-08-04,31.7,28.2,36.2,,4.8,2.2
108,서울,2012-08-05,31.8,27.5,36.7,,4.2,2
108,서울,2012-08-06,31.5,27.8,35.8,,4.5,2.4
108,서울,2012-08-07,30.7,26.6,35,,5.2,3.2
108,서울,2012-08-08,29.6,25.6,34.3,,4.7,2.9
108,서울,2012-08-09,29.7,26.6,34.6,,5.1,2.2
108,서울,2012-08-10,27.4,25.7,29,.3,4.5,1.9
108,서울,2012-08-11,27.7,24,31.8,,4,1.9
108,서울,2012-08-12,25.5,22.3,27.9,17,4.4,2
108,서울,2012-08-13,26.6,22.1,32.1,2,4.8,2.1
108,서울,2012-08-14,26.7,23.2,31.2,15.5,4.7,2.9
108,서울,2012-08-15,23.7,22.4,27.1,136.5,10.2,2.7
108,서울,2012-08-16,26,22.7,28.9,,4,1.6
108,서울,2012-08-17,27.5,24.3,32.2,0,5.2,2.5
108,서울,2012-08-18,27.2,25.8,28.6,2,5,2.5
108,서울,2012-08-19,27.9,26.3,30.8,5,8.2,4.9
108,서울,2012-08-20,25.4,24,27.1,59.5,7.6,4.1
108,서울,2012-08-21,25.3,23.5,28.7,137,6.1,2
108,서울,2012-08-22,22,20.3,24.6,17,5.1,1.9
108,서울,2012-08-23,23,20.5,25.7,.1,6.3,3.5
108,서울,2012-08-24,23.3,21.1,26.1,7.5,5.9,3.9
108,서울,2012-08-25,25,21.5,28.9,11.5,5.8,2.5
108,서울,2012-08-26,27.5,24.1,32.4,0,4.4,1.9
108,서울,2012-08-27,28.5,24.5,32.9,,6.5,4
108,서울,2012-08-28,26.1,21.8,29.4,13.5,13.7,7.5
108,서울,2012-08-29,25.7,21.7,29.1,6,11.1,5.3
108,서울,2012-08-30,21.4,18.7,24.7,34.5,9.4,3.3
108,서울,2012-08-31,23.8,18.7,28.4,,5.1,2.8
108,서울,2012-09-01,25.2,22.3,29.4,,4.5,2.2
108,서울,2012-09-02,25,20.8,29.5,,4.9,2
108,서울,2012-09-03,24.9,22.2,28.5,,3.3,1.5
108,서울,2012-09-04,22,19.7,24.4,55.5,6.7,2.3
108,서울,2012-09-05,22.3,19.2,26.1,10.5,5,2.7
108,서울,2012-09-06,21.6,16,27.1,,4.6,2.2
108,서울,2012-09-07,22.5,16.9,27.2,3,4.9,2.4
108,서울,2012-09-08,20.2,17.7,23.7,25,8.1,4.2
108,서울,2012-09-09,20.9,17.1,25,,4.2,1.8
108,서울,2012-09-10,23.2,17.8,28.3,,3.8,1.9
108,서울,2012-09-11,22.8,18.1,27.5,,4,2.1
108,서울,2012-09-12,21.6,19.6,24.8,.5,4.2,1.8
108,서울,2012-09-13,20,18.6,21.1,13.5,5.2,1.5
108,서울,2012-09-14,19.4,17.3,21.8,2,4.4,1.7
108,서울,2012-09-15,21,17,25.5,,4.9,2
108,서울,2012-09-16,19.9,17.5,22.1,2.5,6,3.8
108,서울,2012-09-17,17.3,16,18.4,85.5,11.5,5.2
108,서울,2012-09-18,20.9,17.7,24.6,,6.5,2.9
108,서울,2012-09-19,20.6,17.7,25.2,,6.4,2.4
108,서울,2012-09-20,20.1,15.6,24.7,0,3.9,2
108,서울,2012-09-21,20.1,17.2,24.3,,4.1,2
108,서울,2012-09-22,20.7,15.2,26.4,,4.8,1.9
108,서울,2012-09-23,21.2,16.4,26.6,,3.1,1.4
108,서울,2012-09-24,21.5,16.1,27.5,,3.4,1.9
108,서울,2012-09-25,21.8,16.9,27.8,,3.8,2.3
108,서울,2012-09-26,21.3,17.5,25.4,,3.1,1.8
108,서울,2012-09-27,20.3,17.7,23.6,,4.7,2.2
108,서울,2012-09-28,18,15.4,22,13.5,5.9,2.7
108,서울,2012-09-29,16.4,14,19.8,.5,6.2,2.6
108,서울,2012-09-30,16.2,12,21,,4,1.5
108,서울,2012-10-01,18.1,12.5,24.6,,4.1,1.5
108,서울,2012-10-02,19.3,14.3,24.9,,4.2,1.5
108,서울,2012-10-03,19.9,15,26,,3.7,1.8
108,서울,2012-10-04,19,14.4,24.2,,5.3,2
108,서울,2012-10-05,19,14.9,22.8,,4.3,1.9
108,서울,2012-10-06,19.6,16.1,24.5,,4.4,1.6
108,서울,2012-10-07,19.2,15.1,24.4,,4.3,2.1
108,서울,2012-10-08,18.4,14.6,23.4,,3.3,1.8
108,서울,2012-10-09,17.6,13.8,22.4,,3.8,1.5
108,서울,2012-10-10,15.7,12.6,20.3,13,5.3,2.3
108,서울,2012-10-11,13.9,9.9,19,,4.6,2.3
108,서울,2012-10-12,14.9,8.5,21.4,,3.8,1.8
108,서울,2012-10-13,16.4,11.3,23.1,,5.2,1.7
108,서울,2012-10-14,16.3,12,21.8,,5.3,2.6
108,서울,2012-10-15,14.8,10.3,21.8,,4.4,1.6
108,서울,2012-10-16,17.1,10.8,23.4,,5.7,2.5
108,서울,2012-10-17,12.6,8.1,17.6,2.5,7,3.8
108,서울,2012-10-18,11.6,6,17,,4.6,2
108,서울,2012-10-19,14.8,10.3,20.1,,4.6,1.8
108,서울,2012-10-20,15.8,10.5,21,,5.6,3
108,서울,2012-10-21,18.3,15.4,23.7,,3.7,1.7
108,서울,2012-10-22,13.4,8.5,17.1,39.5,7.2,3.9
108,서울,2012-10-23,10,4.5,14.5,0,6.4,3.2
108,서울,2012-10-24,13.2,9.5,18.4,,6.6,2.5
108,서울,2012-10-25,15.2,12.6,20,,3.4,1.8
108,서울,2012-10-26,15.9,11.1,22.3,,4.1,2.2
108,서울,2012-10-27,14.3,12.5,16.4,44,5.8,3.3
108,서울,2012-10-28,14.3,10.8,18.8,0,5.9,3.6
108,서울,2012-10-29,11.7,8,16.7,0,4.5,2.1
108,서울,2012-10-30,8.6,5.8,12.4,.1,4.9,2.9
108,서울,2012-10-31,6.9,2.8,11.6,.2,7,2.5
108,서울,2012-11-01,5.6,2.7,10,,6.1,3.7
108,서울,2012-11-02,7.2,1.6,12.4,,4.6,1.9
108,서울,2012-11-03,9.4,3.2,15.7,,3.5,1.9
108,서울,2012-11-04,11.8,9.1,15.3,4,5.8,3.4
108,서울,2012-11-05,8.5,7.2,10.7,8,6.5,1.9
108,서울,2012-11-06,7.1,5.1,8.6,5,5.4,2.3
108,서울,2012-11-07,8.4,4.1,12.5,,5.1,2.4
108,서울,2012-11-08,8.8,6,12.6,,3.2,1.6
108,서울,2012-11-09,9.4,4.4,15,,4.4,2.5
108,서울,2012-11-10,12,9.2,14.7,,7.2,4.6
108,서울,2012-11-11,8.7,3.6,12,28,9.3,5.3
108,서울,2012-11-12,7.3,5.8,9.1,3,8.7,4.6
108,서울,2012-11-13,5.3,1.7,9.1,0,6.8,3.6
108,서울,2012-11-14,2.4,-.6,6.7,0,6.7,3.4
108,서울,2012-11-15,4.2,-.3,9.8,,3.6,1.4
108,서울,2012-11-16,4.9,1,8.2,9.5,3.5,2.1
108,서울,2012-11-17,5.3,1.5,8,1.5,6.6,3.2
108,서울,2012-11-18,3.5,-.5,8.4,,3.3,1.7
108,서울,2012-11-19,3.4,-.5,7.6,5.5,7.3,3.2
108,서울,2012-11-20,1.9,-1.8,6.4,,4.6,2.1
108,서울,2012-11-21,4.1,-.4,8.4,,3.3,1.6
108,서울,2012-11-22,6.7,1.9,10.5,.3,4.8,2.1
108,서울,2012-11-23,3.3,.3,6.9,,4.9,3.1
108,서울,2012-11-24,1.7,-1.8,6.7,,4.5,2.3
108,서울,2012-11-25,3.4,-.7,7.5,.5,3.4,1.6
108,서울,2012-11-26,2.3,-1.2,5.1,1,8.3,3.8
108,서울,2012-11-27,2.1,-2.8,6.5,,3.9,1.7
108,서울,2012-11-28,5,-.1,10.2,1,8.5,3.8
108,서울,2012-11-29,.8,-1.9,4.7,,5.1,2.3
108,서울,2012-11-30,1.7,-3,6.2,.5,6.2,2.5
108,서울,2012-12-01,-.9,-5.9,4,,4.6,1.8
108,서울,2012-12-02,2.9,1,7.1,,4.7,2.3
108,서울,2012-12-03,1.7,-1.6,5,5.4,8.4,3.8
108,서울,2012-12-04,-3.3,-5.9,-.1,,8.8,3.7
108,서울,2012-12-05,-3.8,-6.2,-.8,5.8,6.8,3.2
108,서울,2012-12-06,-6.3,-10.3,-2.9,.1,7.1,2.5
108,서울,2012-12-07,-4.5,-6.4,-2.4,1.9,6.3,4.1
108,서울,2012-12-08,-8.2,-11,-5.3,,5.5,2.8
108,서울,2012-12-09,-10.5,-13.2,-7,,6,2.8
108,서울,2012-12-10,-8.3,-11.8,-4.6,,4.6,2
108,서울,2012-12-11,-6.5,-10.4,-.8,,4.6,2.1
108,서울,2012-12-12,-5,-9,0,,3.7,1.6
108,서울,2012-12-13,-1.5,-6.2,3.4,,4.4,2.7
108,서울,2012-12-14,2.7,.3,4.7,18.5,7.4,4.5
108,서울,2012-12-15,4.6,1.9,8.3,.5,4.4,2.2
108,서울,2012-12-16,1.6,-1.2,4.3,,3.4,1.9
108,서울,2012-12-17,-.4,-4.7,3.2,,6.1,3.4
108,서울,2012-12-18,-6.8,-9.2,-4,,5.7,3.4
108,서울,2012-12-19,-6.9,-10.4,-2.8,,4.3,2.1
108,서울,2012-12-20,-3.4,-7.8,.3,,5.6,2.4
108,서울,2012-12-21,-.7,-1.9,.8,1.8,7,2.6
108,서울,2012-12-22,-3,-5.9,-.8,,5.4,2.9
108,서울,2012-12-23,-8.9,-12.5,-5.9,0,6.8,4.4
108,서울,2012-12-24,-8.8,-13.6,-4.5,0,4.4,1.9
108,서울,2012-12-25,-8.9,-13.7,-4.6,1,7.4,3.5
108,서울,2012-12-26,-10.8,-14.5,-7,,5.2,2.4
108,서울,2012-12-27,-5.7,-11.3,-.8,,3.5,1.6
108,서울,2012-12-28,-.9,-3.5,1.5,0,4.1,1.8
108,서울,2012-12-29,-.3,-1.9,.6,4.1,5.3,1.9
108,서울,2012-12-30,-8.2,-10.7,0,2.3,6.4,4
108,서울,2012-12-31,-8.7,-11.6,-5,,4.4,2.2
108,서울,2013-01-01,-4.7,-8.7,0,3.1,5.8,3.2
108,서울,2013-01-02,-11.7,-15.1,-4.8,,7.8,4.2
108,서울,2013-01-03,-13.2,-16.4,-9.3,,5,2.8
108,서울,2013-01-04,-10.7,-14.8,-5.8,,4.3,1.8
108,서울,2013-01-05,-7,-12.1,-1.2,,4.6,2.3
108,서울,2013-01-06,-6.3,-9.4,-2,,4.2,1.9
108,서울,2013-01-07,-5.1,-8.8,.1,,4.1,1.7
108,서울,2013-01-08,-4.6,-6.8,-.7,,4.9,2.2
108,서울,2013-01-09,-9,-10.7,-6.4,,5.1,3
108,서울,2013-01-10,-8.3,-12.3,-3.6,,4.6,2.3
108,서울,2013-01-11,-3.2,-7.9,1.4,0,4.7,2.3
108,서울,2013-01-12,0,-2.7,4.2,.1,5,2.5
108,서울,2013-01-13,-.5,-3,3.3,,3.7,1.6
108,서울,2013-01-14,-2.1,-4.3,1.8,,5.6,2.2
108,서울,2013-01-15,-2.1,-5.5,2,,4.1,2
108,서울,2013-01-16,-2.6,-5.8,.4,.3,5.5,2.4
108,서울,2013-01-17,-5.8,-8.2,-2.5,,4.9,2.8
108,서울,2013-01-18,-4.4,-9.2,.2,,5.1,2
108,서울,2013-01-19,.5,-2.5,4.6,,4.4,2
108,서울,2013-01-20,1.6,-2,4.1,,5.7,3.1
108,서울,2013-01-21,2.2,1.1,4,16.5,6.6,4.3
108,서울,2013-01-22,3.8,2,6,.5,4.4,2.2
108,서울,2013-01-23,1.8,1,3.8,1.5,4.8,3.1
108,서울,2013-01-24,-.9,-6.7,2.4,.1,8.2,4.3
108,서울,2013-01-25,-9.1,-10.8,-6.5,,8.1,4.7
108,서울,2013-01-26,-9.2,-11.9,-5.1,,6.4,3.5
108,서울,2013-01-27,-7.3,-10.7,-3.9,,5.1,2.6
108,서울,2013-01-28,-3.5,-8.9,.2,,4.3,2.1
108,서울,2013-01-29,2.2,-.3,3.7,0,4.1,2.7
108,서울,2013-01-30,5.4,3.5,8.5,,3.9,2.1
108,서울,2013-01-31,7.4,3.7,11.5,0,5.9,2.9
108,서울,2013-02-01,7.3,3.7,9.3,46.5,6.3,3.7
108,서울,2013-02-02,-1.1,-4.5,3.7,,6.7,4.1
108,서울,2013-02-03,-3.2,-5.8,-1.1,7.5,6.9,2.7
108,서울,2013-02-04,-.8,-3.3,2.5,7.4,5.2,2.6
108,서울,2013-02-05,-.6,-4,2.7,4.5,4.2,2.4
108,서울,2013-02-06,-1.5,-3.1,.2,2.1,5.2,3.3
108,서울,2013-02-07,-11.1,-13.8,-2.6,0,8.2,5.5
108,서울,2013-02-08,-11.5,-15.8,-6.1,,5.4,2.7
108,서울,2013-02-09,-7.2,-12.3,-2.6,,4,1.8
108,서울,2013-02-10,-4,-8.4,-.5,1.2,6.3,2.9
108,서울,2013-02-11,-5.8,-10.4,-.9,,5,2.1
108,서울,2013-02-12,-3.8,-4.8,-1.9,0,5.8,2.3
108,서울,2013-02-13,-1.3,-6.3,2.9,,4.4,2
108,서울,2013-02-14,1.1,-2.6,5.2,,4.3,2.3
108,서울,2013-02-15,-1.2,-5.2,1.5,,6.4,3.9
108,서울,2013-02-16,-2.6,-7,2.6,,5.5,2.1
108,서울,2013-02-17,2.3,-2.1,5.8,0,4.6,2.5
108,서울,2013-02-18,.5,-2.5,3.1,,5.8,3.5
108,서울,2013-02-19,-2.9,-7.1,.6,,7.7,4
108,서울,2013-02-20,-4.8,-8.7,0,,5.7,2.6
108,서울,2013-02-21,-1.7,-5.3,2.5,0,5.9,2.5
108,서울,2013-02-22,.5,-3.1,4.3,3.9,6.8,3.1
108,서울,2013-02-23,-.9,-4.4,2.4,,8.4,3.7
108,서울,2013-02-24,1.4,-2.4,5.3,,4.6,2.2
108,서울,2013-02-25,3.3,-.7,8.6,,3.1,1.7
108,서울,2013-02-26,4.8,2.5,7.5,0,5.1,2.6
108,서울,2013-02-27,3.4,.8,8.8,,5.5,3
108,서울,2013-02-28,6.7,-1.1,13.9,1,6.7,2.9
108,서울,2013-03-01,.8,-2.4,7.7,3,7.8,4.8
108,서울,2013-03-02,-.8,-4.4,3.1,,5.5,3.2
108,서울,2013-03-03,.4,-3.5,4.8,,5.4,2.9
108,서울,2013-03-04,3.1,-.7,8.9,,7.4,2.8
108,서울,2013-03-05,3.7,-.7,9.1,,6.5,3
108,서울,2013-03-06,7.9,.9,14.3,,4,2.2
108,서울,2013-03-07,8,4.3,11.7,.5,7.4,3.7
108,서울,2013-03-08,8.5,3.8,14.1,,5.8,2.7
108,서울,2013-03-09,13.2,6.2,23.8,,8.8,4.3
108,서울,2013-03-10,1.2,-1.5,7.9,,8,5
108,서울,2013-03-11,4.2,-2.6,12.1,,4.4,2.2
108,서울,2013-03-12,7.5,1.6,11.7,3.5,4.6,2.1
108,서울,2013-03-13,5.2,1.8,8.4,11.5,7,3.6
108,서울,2013-03-14,4.1,.9,9.8,,4.9,2.9
108,서울,2013-03-15,4.6,0,10.5,,6.3,2.4
108,서울,2013-03-16,6.3,1.6,12.7,,5.1,2.3
108,서울,2013-03-17,8.2,3.4,15.9,7.5,6.3,2.9
108,서울,2013-03-18,8.3,5.3,14.2,1,7.4,3.3
108,서울,2013-03-19,8,5.2,11.4,,4.8,2.2
108,서울,2013-03-20,2.8,-2.5,8.5,.1,8.4,4.3
108,서울,2013-03-21,1.5,-4,7.2,,5.1,2.5
108,서울,2013-03-22,3.4,.9,6.9,,5,2.3
108,서울,2013-03-23,5.4,-1.2,12.1,,4.7,2.3
108,서울,2013-03-24,5.1,1.8,10.2,,6.6,3.9
